127.0.0.1 - - [22/Dec/2021:15:53:18 +0800] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [22/Dec/2021:15:53:19 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/JS.html HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [22/Dec/2021:16:05:53 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/JS.html HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [22/Dec/2021:16:06:29 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/JS%E5%9F%BA%E7%A1%80.html HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [22/Dec/2021:16:06:29 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/Test1.js HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [22/Dec/2021:16:06:35 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/JS%E5%9F%BA%E7%A1%80.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2021:16:06:35 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/Test1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2021:16:07:01 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/JS%E5%9F%BA%E7%A1%80.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2021:16:07:01 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/Test1.js HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [22/Dec/2021:16:08:59 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/JS%E5%9F%BA%E7%A1%80.html HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [22/Dec/2021:16:08:59 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/Test1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2021:16:11:58 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/JS%E5%9F%BA%E7%A1%80.html HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [22/Dec/2021:16:11:58 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/Test1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Dec/2021:16:13:14 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/JS%E5%9F%BA%E7%A1%80.html HTTP/1.1" 200 1079
0:0:0:0:0:0:0:1 - - [22/Dec/2021:16:13:14 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/Test1.js HTTP/1.1" 304 -
