127.0.0.1 - - [24/Dec/2021:10:42:02 +0800] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Dec/2021:10:42:04 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/JS%E5%9F%BA%E7%A1%80.html HTTP/1.1" 200 1497
0:0:0:0:0:0:0:1 - - [24/Dec/2021:10:42:04 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/Test1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Dec/2021:10:42:07 +0800] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [24/Dec/2021:10:42:44 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/JS%E5%9F%BA%E7%A1%80.html HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [24/Dec/2021:10:47:05 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/JS%E5%9F%BA%E7%A1%80.html HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [24/Dec/2021:10:52:57 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/JS%E5%9F%BA%E7%A1%80.html HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [24/Dec/2021:11:03:58 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/JS%E5%9F%BA%E7%A1%80.html HTTP/1.1" 200 2209
0:0:0:0:0:0:0:1 - - [24/Dec/2021:11:04:18 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/JS%E5%9F%BA%E7%A1%80.html HTTP/1.1" 200 2207
0:0:0:0:0:0:0:1 - - [24/Dec/2021:11:05:02 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/JS%E5%9F%BA%E7%A1%80.html HTTP/1.1" 200 2209
0:0:0:0:0:0:0:1 - - [24/Dec/2021:11:18:41 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/JS%E5%9F%BA%E7%A1%80.html HTTP/1.1" 200 2721
0:0:0:0:0:0:0:1 - - [24/Dec/2021:11:20:53 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/JS%E5%9F%BA%E7%A1%80.html HTTP/1.1" 200 2789
0:0:0:0:0:0:0:1 - - [24/Dec/2021:11:24:54 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/JS%E5%9F%BA%E7%A1%80.html HTTP/1.1" 200 2895
0:0:0:0:0:0:0:1 - - [24/Dec/2021:11:27:30 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/JS%E5%9F%BA%E7%A1%80.html HTTP/1.1" 200 3009
0:0:0:0:0:0:0:1 - - [24/Dec/2021:11:32:48 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/JS%E5%9F%BA%E7%A1%80.html HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [24/Dec/2021:11:33:49 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/JS%E5%9F%BA%E7%A1%80.html HTTP/1.1" 200 3289
0:0:0:0:0:0:0:1 - - [24/Dec/2021:11:35:10 +0800] "GET /MyWeb/JS%E5%85%A5%E9%97%A8/JS%E5%9F%BA%E7%A1%80.html HTTP/1.1" 200 3302
