127.0.0.1 - - [07/Jan/2022:12:25:51 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:25:51 +0800] "GET /MyWeb/img/pic1.jpg HTTP/1.1" 200 24354
127.0.0.1 - - [07/Jan/2022:12:25:51 +0800] "GET /MyWeb/img/pic2.jpg HTTP/1.1" 200 32696
127.0.0.1 - - [07/Jan/2022:12:25:51 +0800] "GET /MyWeb/img/pic3.jpg HTTP/1.1" 200 22386
127.0.0.1 - - [07/Jan/2022:12:26:06 +0800] "GET /MyWeb/img/pic1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:26:06 +0800] "GET /MyWeb/img/pic3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:26:06 +0800] "GET /MyWeb/img/pic2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:26:41 +0800] "GET /MyWeb/img/pic3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:26:46 +0800] "GET /MyWeb/img/pic3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:26:50 +0800] "GET /MyWeb/BootStrap/%E8%BD%AE%E6%92%AD%E5%9B%BE.html HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:26:50 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:26:50 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:26:50 +0800] "GET /MyWeb/img/pic1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:26:50 +0800] "GET /MyWeb/img/pic2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:26:50 +0800] "GET /MyWeb/img/pic3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jan/2022:12:28:08 +0800] "GET /MyWeb/BootStrap/%E8%BD%AE%E6%92%AD%E5%9B%BE.html HTTP/1.1" 200 3678
0:0:0:0:0:0:0:1 - - [07/Jan/2022:12:28:08 +0800] "GET /MyWeb/css/bootstrap.min.css HTTP/1.1" 200 121457
0:0:0:0:0:0:0:1 - - [07/Jan/2022:12:28:08 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 200 39680
0:0:0:0:0:0:0:1 - - [07/Jan/2022:12:28:08 +0800] "GET /MyWeb/img/pic1.jpg HTTP/1.1" 200 24354
0:0:0:0:0:0:0:1 - - [07/Jan/2022:12:28:08 +0800] "GET /MyWeb/img/pic2.jpg HTTP/1.1" 200 32696
0:0:0:0:0:0:0:1 - - [07/Jan/2022:12:28:08 +0800] "GET /MyWeb/img/pic3.jpg HTTP/1.1" 200 22386
0:0:0:0:0:0:0:1 - - [07/Jan/2022:12:28:08 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [07/Jan/2022:12:28:09 +0800] "GET /MyWeb/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [07/Jan/2022:12:28:09 +0800] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [07/Jan/2022:12:28:57 +0800] "GET /MyWeb/BootStrap/%E8%BD%AE%E6%92%AD%E5%9B%BE.html HTTP/1.1" 200 3689
127.0.0.1 - - [07/Jan/2022:12:28:57 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:28:57 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:28:57 +0800] "GET /MyWeb/img/pic1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:28:57 +0800] "GET /MyWeb/img/pic2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:28:57 +0800] "GET /MyWeb/img/pic3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:36:03 +0800] "GET /MyWeb/BootStrap/%E8%BD%AE%E6%92%AD%E5%9B%BE.html HTTP/1.1" 200 3759
127.0.0.1 - - [07/Jan/2022:12:36:03 +0800] "GET /MyWeb/js/jquery-3.4.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jan/2022:12:36:03 +0800] "GET /MyWeb/js/bootstrap.min.js HTTP/1.1" 304 -
